Game Title,Players Now,24 Hour Peak
Counter-Strike 2,"1,305,824","1,582,155"
Dota 2,"676,653","695,215"
PUBG: BATTLEGROUNDS,"530,703","699,874"
Apex Legends,"253,481","356,562"
HELLDIVERS™ 2,"210,120","251,310"
NARAKA: BLADEPOINT,"197,928","321,933"
Stardew Valley,"180,084","187,114"
Source SDK Base 2007,"167,091","189,191"
Grand Theft Auto V,"149,548","160,053"
Rust,"120,410","133,842"
Tom Clancy's Rainbow Six Siege,"113,132","129,772"
Call of Duty®,"109,612","124,597"
Baldur's Gate 3,"101,745","105,659"
Wallpaper Engine,"97,189","111,377"
War Thunder,"82,625","85,543"
